species,year,reader,vessel,location,month,day,plant,collection,age,yr_class,area,scale_no,fork_len,weight,ring1,ring2,ring3,ring4,ring5,ring6,ring7,ring8,ring9,ring10,edge
0,66,1,626,298815,5,2,54,536,2,64,16,10701,182,127,86,147,0,0,0,0,0,0,0,0,156
0,66,1,626,298815,5,2,54,536,2,64,16,10702,172,108,76,157,0,0,0,0,0,0,0,0,174
0,66,1,626,298815,5,2,54,536,2,64,16,10703,175,122,66,132,0,0,0,0,0,0,0,0,140
0,66,1,626,298815,5,2,54,536,2,64,26,10704,177,118,91,140,0,0,0,0,0,0,0,0,146
0,66,1,626,298815,5,2,54,536,2,64,16,10705,173,113,69,129,0,0,0,0,0,0,0,0,137
0,66,1,626,298815,5,2,54,536,2,64,26,10706,172,113,41,125,0,0,0,0,0,0,0,0,140
0,66,1,626,298815,5,2,54,536,2,64,26,10707,168,109,64,133,0,0,0,0,0,0,0,0,143
0,66,1,626,298815,5,2,54,536,2,64,16,10708,166,102,57,121,0,0,0,0,0,0,0,0,131
0,66,1,626,298815,5,2,54,536,2,64,26,10709,161,92,55,110,0,0,0,0,0,0,0,0,126
0,66,1,626,298815,5,2,54,536,1,65,16,10710,155,81,102,0,0,0,0,0,0,0,0,0,121
0,66,1,626,298815,5,2,54,536,1,65,16,10711,158,94,126,0,0,0,0,0,0,0,0,0,144
0,66,1,626,298815,5,2,54,536,2,64,26,10712,156,88,73,123,0,0,0,0,0,0,0,0,132
0,66,1,626,298815,5,2,54,536,2,64,26,10713,172,105,41,116,0,0,0,0,0,0,0,0,123
0,66,1,626,298815,5,2,54,536,1,65,16,10714,159,88,98,0,0,0,0,0,0,0,0,0,128
0,66,1,626,298815,5,2,54,536,2,64,16,10715,162,91,45,109,0,0,0,0,0,0,0,0,123
0,66,1,626,298815,5,2,54,536,1,65,26,10716,159,86,86,0,0,0,0,0,0,0,0,0,104
0,66,1,626,298815,5,2,54,536,2,64,26,10717,160,82,44,108,0,0,0,0,0,0,0,0,124
0,66,1,626,298815,5,2,54,536,1,65,26,10718,150,70,90,0,0,0,0,0,0,0,0,0,108
0,66,,626,298815,5,2,54,536,1,65,26,10719,157,82,100,0,0,0,0,0,0,0,0,0,129
0,66,,626,298815,5,2,54,536,1,65,16,10720,152,76,142,0,0,0,0,0,0,0,0,0,160
0,66,1,643,298963,5,4,54,540,2,64,26,10781,195,155,130,172,0,0,0,0,0,0,0,0,177
0,66,1,643,298963,5,4,54,540,2,64,16,10782,194,166,131,146,0,0,0,0,0,0,0,0,160
