YEAR,PLANT,SCALENO,ID,LENGTH,WEIGHT,AGE,SPECIES,READER,VESSEL,LOCATION,MONTH,DAY,COLL,AREA,ring_1,ring_2,ring_3,ring_4,ring_5,ring_6,ring_7,ring_8,ring_9,ring_10,edge
92,56,558,1,185,138,2,0,2,736,2989E3,4,24,8718,9,94,141,,,,,,,,,151
92,56,558,2,188,129,2,0,2,736,2989E3,4,24,8718,9,91,158,,,,,,,,,162
92,56,558,3,190,141,2,0,2,736,2989E3,4,24,8718,9,88,168,,,,,,,,,174
92,56,558,4,191,141,3,0,2,736,2989E3,4,24,8718,9,97,134,156,,,,,,,,162
92,56,558,5,196,152,3,0,2,736,2989E3,4,24,8718,9,58,97,156,,,,,,,,161
92,56,558,6,198,150,3,0,2,736,2989E3,4,24,8718,9,85,140,154,,,,,,,,161
92,56,558,7,198,149,3,0,2,736,2989E3,4,24,8718,9,81,128,151,,,,,,,,158
92,56,558,8,195,139,3,0,2,736,2989E3,4,24,8718,9,77,123,162,,,,,,,,170
92,56,558,9,200,140,3,0,2,736,2989E3,4,24,8718,9,72,139,155,,,,,,,,163
92,56,558,10,210,151,3,0,2,736,2989E3,4,24,8718,9,76,120,172,,,,,,,,176
92,56,559,1,151,66,1,0,2,725,2989E3,4,24,8719,9,118,,,,,,,,,,138
92,56,559,2,147,60,1,0,2,725,2989E3,4,24,8719,9,106,,,,,,,,,,142
92,56,559,3,173,92,2,0,2,725,2989E3,4,24,8719,9,75,125,,,,,,,,,152
92,56,559,4,173,103,2,0,2,725,2989E3,4,24,8719,9,73,163,,,,,,,,,176
92,56,559,5,195,133,3,0,2,725,2989E3,4,24,8719,9,81,142,165,,,,,,,,171
92,56,559,6,183,121,2,0,2,725,2989E3,4,24,8719,9,119,165,,,,,,,,,173
92,56,559,7,192,134,2,0,2,725,2989E3,4,24,8719,9,83,168,,,,,,,,,176
92,56,559,8,190,129,2,0,2,725,2989E3,4,24,8719,9,107,157,,,,,,,,,163
92,56,559,9,192,137,2,0,2,725,2989E3,4,24,8719,9,88,147,,,,,,,,,152
92,56,559,10,210,175,3,0,2,725,2989E3,4,24,8719,9,57,115,181,,,,,,,,187
92,56,560,1,157,72,2,0,2,733,2989E3,4,24,8720,9,83,107,,,,,,,,,119
92,56,560,2,175,106,2,0,2,733,2989E3,4,24,8720,9,73,130,,,,,,,,,150
92,56,560,3,183,120,2,0,2,733,2989E3,4,24,8720,9,110,161,,,,,,,,,169
92,56,560,4,186,131,2,0,2,733,2989E3,4,24,8720,9,100,138,,,,,,,,,146
92,56,560,5,193,135,2,0,2,733,2989E3,4,24,8720,9,113,153,,,,,,,,,159
